Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Distance__km_,AVG_speed_km_per_hr,RANK_Annual_APC_Boardings,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Year
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,88000,183000,10.1,24 km/h,35,2216481,6449,6045,4591,21,66%,7352381,67570,2023
251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic,17000,14000,9.7,26 km/h,166,79905,260,147,113,0,73%,765460,8578,2023
252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic,16000,13000,6.8,23 km/h,175,55959,177,110,94,0,75%,654214,7339,2023
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,83000,182000,13.9,26 km/h,128,293414,1062,265,201,8,67%,1185781,10975,2023
254,BRITISH PROPERTIES/PARK ROYAL/VAN,North Shore,Std. Bus,Basic,81000,174000,12.6,26 km/h,146,168906,573,254,187,3,67%,828016,7707,2023
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Peak Frequent,61000,48000,13.5,22 km/h,74,1020225,3228,2095,1620,5,60%,3495433,32568,2023
256,WHITBY ESTATE/PARK ROYAL/SPURAWAY,North Shore,Mini-Bus,Basic,18000,7000,8.6,20 km/h,161,94895,269,261,222,0,69%,491299,5415,2023
257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard,72000,179000,22,36 km/h,55,1411042,3677,4544,4084,5,82%,3462770,34958,2023
262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic,4000,1000,12.4,47 km/h,181,33822,99,97,62,0,84%,494133,5602,2023
301,NEWTON EXCHANGE/BRIGHOUSE STATION,Southwest,Double Decker,Basic,76000,38000,29.6,34 km/h,45,1709820,5488,2954,2844,5,73%,3808597,36050,2023
310,SCOTTSDALE/LADNER,Southeast,Std. Bus,Basic,30000,10000,22.3,34 km/h,108,543594,1583,1281,1278,1,78%,2252556,22968,2023
311,SCOTTSDALE/BRIDGEPORT STN,Southeast,Double Decker,Peak Only Limited,23000,11000,29.3,47 km/h,142,195801,777,0,0,0,87%,856048,8065,2023
312,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Standard,36000,12000,11.5,24 km/h,67,1152842,3480,2770,2179,19,90%,2394470,23027,2023
314,SURREY CENTRAL/SUNBURY,Southeast,Std. Bus,Basic,64000,28000,7.6,21 km/h,113,483683,1554,1001,668,15,77%,1075928,10172,2023
316,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,56000,19000,10.7,21 km/h,85,891679,2660,2327,1668,10,80%,1683315,17051,2023
319,SCOTT STN/NEWTON EXCH/SCOTTSDALE,Southeast,Std. Bus,All Day Frequent,45000,22000,10.7,21 km/h,4,6832902,20400,16319,13908,22,68%,10486822,101076,2023
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,91000,54000,14.5,23 km/h,37,2101594,6239,5098,4355,16,79%,5313827,52084,2023
321,WHITE ROCK/NEWTON/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,117000,57000,22.9,25 km/h,19,3562091,10301,9417,7862,29,71%,6827256,75290,2023
322,NEWTON EX/SCOTTSDALE,Southeast,Mini-Bus,Standard,50000,11000,14.7,24 km/h,90,831059,2533,1801,1632,7,88%,1512419,30297,2023
323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,42000,32000,9.9,19 km/h,13,4125521,12162,9999,8899,29,79%,5049848,58703,2023
324,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,43000,31000,10.8,21 km/h,54,1425345,4392,3119,2583,19,79%,2291751,23776,2023
325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,45000,21000,7.5,20 km/h,58,1284872,3869,2897,2618,17,86%,1985540,19226,2023
326,GUILDFORD/SURREY CENTRAL STN,Southeast,Std. Bus,Basic,66000,30000,12.4,21 km/h,114,482115,1600,797,621,9,80%,1255988,13168,2023
329,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,66000,31000,8.9,19 km/h,145,178794,623,437,0,5,73%,383405,3868,2023
335,NEWTON/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,101000,37000,13.9,22 km/h,15,3718333,11512,8097,6547,29,75%,5773820,60419,2023
337,FRASER HEIGHTS/GUILDFORD/SURREY CTR,Southeast,Std. Bus,All Day Frequent,47000,24000,7.8,26 km/h,86,875854,2630,1977,1812,2,84%,2185976,22797,2023
340,SCOTTSDALE/22ND ST STN,Southeast,Double Decker,Peak Frequent,26000,7000,16.6,37 km/h,52,1446387,4497,3125,2491,2,92%,2831872,27557,2023
341,GUILDFORD/NEWTON EXCH,Southeast,Std. Bus,Standard,65000,18000,9.1,21 km/h,77,933325,2821,2062,1896,6,86%,2024962,19462,2023
342,LANGLEY CENTRE/NEWTON EXCHANGE,Southeast,Std. Bus,Standard,56000,31000,21,26 km/h,51,1460432,4599,3137,2296,14,78%,3886378,36613,2023
345,KING GEORGE STN/WHITE ROCK CENTRE,Southeast,Std. Bus,Basic,63000,29000,20.1,25 km/h,73,1095543,4347,0,0,33,78%,2469670,26020,2023
350,WHITE ROCK CTR/CRESCENT BEACH,Southeast,Std. Bus,,30000,10000,9,31 km/h,143,186923,526,536,436,0,93%,1999321,18518,2023
351,WHITE ROCK CTR/BRIDGEPORT STN,Southeast,Double Decker,All Day Frequent,33000,18000,38.3,49 km/h,53,1432399,4187,3620,3117,0,77%,6393870,59428,2023
352,OCEAN PARK /BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited,35000,15000,43.6,50 km/h,156,101359,402,0,0,0,83%,976734,9137,2023
354,WHITE ROCK SOUTH/BRIDGEPORT STATION,Southeast,Std. Bus,Peak Only Limited,49000,24000,45.6,43 km/h,153,117851,468,0,0,1,80%,815855,7640,2023
360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic,29000,10000,12.3,29 km/h,171,61597,213,84,59,0,73%,608120,8830,2023
361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic,35000,11000,11.3,27 km/h,163,93058,305,170,123,0,82%,646831,9374,2023
362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Standard,23000,10000,3.7,19 km/h,164,92399,200,385,361,0,78%,364176,5453,2023
363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard,40000,17000,12.1,24 km/h,140,203285,576,552,486,0,77%,1268119,18496,2023
364,LANGLEY CTR/ SCOTTSDALE,Southeast,Std. Bus,Standard,65000,32000,21.7,25 km/h,46,1687818,5148,3960,3056,15,72%,3437474,34413,2023
371,SURREY CNTRL/SCOTT RD STN,Southeast,Mini-Bus,Basic,26000,20000,8.2,22 km/h,134,262667,829,576,396,1,82%,615613,9714,2023
373,GUILDFORD/ SURREY CNTRL STN,Southeast,Mini-Bus,Basic,54000,26000,10.2,22 km/h,93,749241,2289,1660,1418,5,75%,1319484,25145,2023
375,WHITE ROCK/WHITE ROCK STH/GUILDFORD,Southeast,Std. Bus,Standard,72000,25000,22.8,25 km/h,84,894606,2138,3397,2951,6,68%,2659860,25426,2023
388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only Limited,45000,29000,26.3,29 km/h,123,409797,1626,0,0,1,71%,1561349,14888,2023
391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only Limited,33000,11000,10.7,22 km/h,157,101257,402,0,0,12,85%,223483,2217,2023
393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited,55000,27000,13.4,20 km/h,151,137509,546,0,0,25,81%,221969,2132,2023
394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only Limited,52000,36000,21.9,27 km/h,137,245466,974,0,0,2,77%,1268118,11502,2023
395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only Limited,62000,42000,20.9,27 km/h,147,149581,594,0,0,18,75%,692951,6217,2023
401,RICHMOND-BRIGHOUSE STN / ONE ROAD,Southwest,Std. Bus,Peak Frequent,53000,30000,9.4,24 km/h,62,1221778,3730,2794,2257,4,77%,3171735,29332,2023
402,TWO ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,62000,29000,9.1,23 km/h,88,858070,2724,1648,1418,2,94%,2315531,21379,2023
403,BRIDGEPORT STN/THREE ROAD,Southwest,Std. Bus,Peak Frequent,62000,53000,10.2,21 km/h,47,1683220,4946,4257,3554,5,80%,4087265,38818,2023
404,FOUR ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Standard,48000,27000,8.1,24 km/h,119,456850,1383,1006,923,1,89%,1986818,18436,2023
405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Standard,70000,62000,18.7,26 km/h,97,675453,2144,1328,1090,0,71%,2446474,22744,2023
406,RICHMOND BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent,63000,29000,10,26 km/h,57,1369755,4064,3332,2842,3,96%,3915560,36273,2023
407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard,81000,58000,15.2,23 km/h,75,1003556,3237,1756,1587,0,81%,3605710,33424,2023
408,BRIGHOUSE/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent,57000,29000,8.3,24 km/h,60,1242548,3935,2483,2012,4,86%,2866000,26583,2023
410,RICHMOND-BRIGHOUSE STN/22ND ST STN,Southwest,Std. Bus,All Day Frequent,66000,60000,18.3,28 km/h,21,3296801,10055,7415,6224,8,78%,6959054,66086,2023
412,BRIDGEPORT STATION/SEA ISLAND SOUTH,Southwest,Mini-Bus,Basic,5000,8000,6.9,29 km/h,154,115333,445,65,0,0,92%,712016,8439,2023
413,RIVERPORT/STEVESTON,Southwest,Mini-Bus,Basic,37000,8000,10.7,27 km/h,152,120809,372,293,199,0,81%,670879,9646,2023
414,RICHMOND OVAL/BRIGHOUSE STN,Southwest,Mini-Bus,Basic,37000,27000,4.1,18 km/h,176,55086,190,143,0,0,80%,267847,3873,2023
416,EAST CAMBIE/BRIGHOUSE STATION,Southwest,Mini-Bus,Peak Only Limited,50000,42000,10.9,22 km/h,169,68917,273,0,0,1,68%,323553,4750,2023
418,KINGSWOOD/22ND ST STN,Southwest,Std. Bus,Peak Only Limited,11000,6000,8.5,31 km/h,127,314356,1247,0,0,0,73%,754286,7528,2023
430,METROTOWN/BRIGHOUSE STATION,Southwest,Std. Bus,Standard,100000,73000,18.9,22 km/h,31,2375121,7074,5754,4839,16,68%,4405034,44100,2023
501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,68000,65000,27.4,27 km/h,44,1792930,5753,3728,2488,14,77%,4986833,48422,2023
502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,67000,41000,18.7,25 km/h,41,1957241,5635,5594,4086,15,84%,6241032,58882,2023
503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,78000,46000,22.5,29 km/h,29,2530230,7827,5320,4632,22,81%,7954672,72793,2023
509,WALNUT GROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited,71000,42000,21.9,34 km/h,160,94911,377,0,0,0,76%,702423,7107,2023
531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard,57000,38000,19.5,28 km/h,79,921098,2928,1793,1488,10,87%,3091104,30168,2023
555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Double Decker,Peak Frequent,23000,13000,22.1,67 km/h,70,1122908,3770,1819,1300,8,94%,2150689,19841,2023
595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard,33000,31000,18.2,31 km/h,107,567037,1805,1126,888,1,77%,1951907,18494,2023
601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Southwest,Std. Bus,Peak Frequent,29000,15000,24.9,37 km/h,71,1116255,3276,2805,2389,5,79%,4854479,45743,2023
603,BEACH GROVE/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited,22000,10000,14.7,35 km/h,179,38068,151,0,0,0,79%,421456,3936,2023
609,TSAWWASSEN FIRST NATION/SOUTH DELTA,Southwest,Mini-Bus,Basic,8000,4000,6.5,23 km/h,183,19443,60,43,34,0,76%,419282,5992,2023
614,ENGLISH BLUFF/SOUTH DELTA EXCH,Southwest,Mini-Bus,Basic,17000,5000,6.7,27 km/h,191,10812,30,34,23,0,85%,197143,2879,2023
616,LADNER SOUTH/LADNER EXCH,Southwest,Mini-Bus,Basic,13000,6000,3.8,26 km/h,182,21481,70,41,28,0,95%,300047,4262,2023
618,LADNER NORTH/LADNER EXCH,Southwest,Mini-Bus,Basic,15000,5000,4.3,27 km/h,186,18340,60,39,22,0,92%,297993,4323,2023
619,BOUNDARY BAY/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic,8000,3000,5.5,28 km/h,192,10496,31,28,19,0,90%,182361,2712,2023
620,TSAWWASSEN FERRY/BRIDGEPORT STATION,Southwest,Double Decker,Standard,10000,7000,27.9,47 km/h,91,820365,2045,2630,2755,13,73%,2715435,25772,2023
640,LADNER EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Standard,13000,22000,20.6,35 km/h,66,1156703,3910,1692,1378,2,84%,4369054,45557,2023
701,HANEY/MAPLE RIDGE EAST/COQ STN,Maple Ridge/Pitt Meadows,Std. Bus,All Day Frequent,63000,35000,25.4,29 km/h,63,1210646,3606,2927,2470,0,73%,6265300,57886,2023
719/722,MEADOWTOWN/FRASER WAY/BONSON,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,17000,9000,6,23 km/h,184,19392,73,22,0,0,79%,350788,5084,2023
733,ROCK RIDGE/HANEY PL/PT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,20000,9000,6.9,28 km/h,173,60016,191,118,95,0,90%,527017,7742,2023
741,ANDERSON CREEK/HANEY PL/PT HANEY ST,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,18000,9000,7,28 km/h,172,61275,198,110,92,0,91%,509283,7432,2023
743,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,27000,16000,7.7,25 km/h,177,51785,188,83,6,0,84%,741062,10735,2023
744,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,30000,16000,11.3,25 km/h,167,78242,287,118,0,0,80%,726838,10574,2023
745/746,HANEY PLACE/COTTONWOOD/ALBION,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,33000,11000,10.9,30 km/h,144,183722,643,236,157,0,79%,1004135,15860,2023
